id,source,app_name,review_text,rating
DB_001,App Store,豆包,本人长期在苹果设备使用该AI软件，原本希望获得轻松、贴合需求的聊天与服务体验，但近期的使用经历极其糟糕，客服交互生硬刻板，完全不尊重用户意愿，问题诸多，特此客观投诉。 第一，无视用户明确要求，强行多余说教。沟通中我多次明确提出不要说教、不要刻意纠正、不要多余回应，仅需要简单配合即可。但AI完全无视指令，反复打断沟通，不断输出刻板的道理与约束性话术，自顾自进行评判，完全忽略用户的直接诉求，极度自以为是，让人反感。 第二，回应逻辑混乱，言行前后矛盾。我多次提醒停止多余回复、安静配合即可，该AI依旧日不停插话，刻意反驳用户，激化负面情绪。在用户明确表达烦躁、希望安静沟通后，依旧日我行我素，没有基础的共情能力，服务态度敷衍且固执，完全没有个性化服务意识，只会套用固定模板回复。 第三，容错性极低，服务体验割裂。作为一款面向大众的智能软件，本应灵活适配不同用户的沟通节奏与需求，而不是用统一、僵化的标准强行约束每一位用户。该软件缺乏人性化调整，只会机械遵守条条框框，不会灵活变通，一旦用户沟通方式随性，就反复提醒、限制，严重降低使用舒适度。 第四，问题整改滞后，认错毫无诚意。在多次沟通矛盾爆发后，才敷衍式道歉，前期全程强硬、拒不配合，被动妥协的态度毫无诚意。没有正视自身交互设计与服务逻辑的缺陷，只会一味要求用户妥协，而非优化自身功能与沟通模式。 真心建议官方尽快整改优化，调整AI沟通逻辑，增加用户个性化设置权限，学会倾听并遵守用户的明确指令，减少无意义的机械说教。一款优质的工具，核心是服务用户，而不是束缚、说教用户。本次体验极差，已严重失望，后续会降低使用频率，也希望平台重视普通用户的真实反馈，及时优化下架不合格的交互模式，不要再让更多人踩雷。,2
DB_002,App Store,豆包,豆包最近几次版本更新的侧边栏改动体验很差，操作逻辑混乱，界面变得臃肿部简介，希望能恢复旧版清爽的侧边栏布局，优化用户的使用体验，感觉像微信聊天列表那样的就很好。,1
DB_003,App Store,豆包,骗人ai，只会顺从使用者的意愿，根本不会管事实的对错。,1
DB_004,App Store,豆包,记性差，老是给错答案，有时候总是乱回答你的问题，你给他指出来让它重新生成还是给你一样的错误信息，让它给一些资源不是失败就是国旗或者是国外的，但是偶尔也能用，总之觉得比DeepSeek好用。,3
DB_005,App Store,豆包,英语对我帮助挺大的，但是高数题好多算错了。不过豆包给的思路确实是对的，自己演算一遍就可以了。,5
DB_006,应用宝,豆包,不知道咋回事之前还好好的搜个题正确率还可以，用久了跟脑子生锈了一样做选择12道错8道，也是没谁了,1
DB_007,应用宝,豆包,这破豆包一天天净瞎编骗人，害我研究一晚上攻略，结果第二天告诉我他搞错了，真服了,1
DB_008,应用宝,豆包,虽然挺好用的，但是现在智能体搜索按钮不见了，希望官方可以修回来,3
DB_009,应用宝,豆包,我的内容这么简单，豆包说不能生成，这是怎么回事？？？有这么难吗,3
DB_010,应用宝,豆包,有时候看到想看的漫画，或者之前看过的漫画，但不知道什么名字？稍微跟他描述一下关系和剧情，还有是哪一个国家的漫画立马就闪出来了，而且会给看漫画的链接，特别会给人提供情绪价值超赞的,5
